,size,floyd_time,djikstra_time
0,5,0.00023031234741210938,0.00029730796813964844
1,10,0.0015344619750976562,0.0017201900482177734
2,15,0.005323648452758789,0.0058209896087646484
3,20,0.013210058212280273,0.015453338623046875
4,25,0.02519392967224121,0.02055191993713379
5,30,0.04084324836730957,0.034740447998046875
6,35,0.06230616569519043,0.05153226852416992
7,40,0.09423542022705078,0.07028436660766602
8,45,0.14337158203125,0.10132145881652832
9,50,0.19232177734375,0.13190984725952148
10,55,0.24734997749328613,0.19326996803283691
11,60,0.32236504554748535,0.22052907943725586
12,65,0.406172513961792,0.2951173782348633
13,70,0.5109174251556396,0.3504815101623535
14,75,0.6199555397033691,0.4064452648162842
15,80,0.7593252658843994,0.5018954277038574
16,85,0.9066636562347412,0.593705415725708
17,90,1.0734436511993408,0.6919708251953125
18,95,1.2722136974334717,0.9101512432098389
19,100,1.4755361080169678,0.9793248176574707
20,105,1.724609375,1.1472070217132568
21,110,1.9650585651397705,1.2646336555480957
22,115,2.223766326904297,1.3977854251861572
23,120,2.5153307914733887,1.5817177295684814
24,125,2.8707597255706787,1.7666957378387451
25,130,3.268261194229126,2.0350611209869385
26,135,3.6186797618865967,2.3274102210998535
27,140,4.052069187164307,2.5645339488983154
28,145,4.603939056396484,2.8041789531707764
29,150,5.039972305297852,3.184009075164795
30,155,5.785985231399536,3.5993998050689697
31,160,6.003809452056885,3.614659070968628
32,165,6.688878774642944,3.9495697021484375
33,170,7.143113851547241,4.6380698680877686
34,175,7.809244632720947,4.948217391967773
35,180,8.56873869895935,5.23960018157959
36,185,9.344480991363525,5.819342851638794
37,190,10.0688796043396,6.118031024932861
38,195,10.863639831542969,6.430842638015747
39,200,11.590720891952515,6.986998081207275
40,205,12.537517786026001,7.8741395473480225
41,210,13.543869972229004,8.797739267349243
42,215,14.40196704864502,8.861205101013184
43,220,15.410921812057495,9.417902946472168
44,225,16.84790539741516,10.052245378494263
45,230,18.108992338180542,11.070989608764648
46,235,19.359622478485107,11.725158214569092
47,240,20.217819690704346,12.617791891098022
48,245,21.341610431671143,13.633364200592041
49,250,23.075294733047485,14.074091672897339
50,255,24.24297571182251,14.609853506088257
51,260,25.77775478363037,15.095139503479004
52,265,27.28627634048462,16.93727993965149
53,270,28.91756844520569,17.18363046646118
54,275,30.515724182128906,19.14332604408264
55,280,32.48494863510132,19.41502070426941
56,285,33.78184175491333,20.177506685256958
57,290,35.37075185775757,21.977787733078003
58,295,37.504436016082764,22.782268285751343
59,300,40.154072999954224,23.841409921646118
60,305,41.981003284454346,24.55326557159424
61,310,43.56010723114014,25.816517114639282
62,315,45.80086088180542,27.074350357055664
63,320,48.13446116447449,28.913676738739014
64,325,51.00049352645874,30.907496452331543
65,330,52.03988265991211,31.66510009765625
66,335,54.62692070007324,32.485403299331665
67,340,56.46442484855652,36.18019080162048
68,345,59.205559968948364,36.608423948287964
69,350,62.28724026679993,37.12807631492615
70,355,65.1386170387268,39.58171057701111
71,360,67.59933137893677,41.413987159729004
72,365,70.93197441101074,42.52690505981445
73,370,74.00588965415955,44.38300037384033
74,375,77.20275402069092,48.1278600692749
75,380,79.331866979599,47.912720918655396
76,385,83.3586151599884,51.396708726882935
77,390,86.65746831893921,50.58552598953247
78,395,89.10238242149353,54.376163721084595
79,400,94.46807813644409,57.17456412315369
80,405,97.96375942230225,59.91878843307495
81,410,101.76184415817261,61.924997091293335
82,415,103.04259634017944,61.114098072052
83,420,108.44297194480896,65.40185260772705
84,425,112.3668384552002,67.3168318271637
85,430,115.74361371994019,69.09092354774475
86,435,120.09472990036011,70.80206298828125
87,440,124.12772274017334,75.14889764785767
88,445,128.59055924415588,75.82704257965088
89,450,132.46024227142334,78.78853225708008
90,455,137.32918882369995,80.79804253578186
91,460,141.6458785533905,83.87015104293823
92,465,146.12932968139648,86.37298560142517
93,470,151.64054584503174,89.14398431777954
94,475,158.16382932662964,92.88523936271667
95,480,163.08037948608398,97.6193323135376
96,485,166.45585298538208,101.04963374137878
97,490,172.08469557762146,104.78387379646301
98,495,179.83414363861084,107.25752520561218
99,500,183.71433067321777,112.16034507751465
101,505,181.99613237380981,114.74339699745178
102,510,185.274817943573,120.00910949707031
103,515,191.37373113632202,127.10629558563232
104,520,196.36077237129211,126.88980841636658
